A1|Dressing for one wound
A4407|"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each"
A4408|"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each"
A4409|"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each"
A4410|"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each"
A4411|"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each"
A4412|"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each"
A4413|"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each"
A4414|"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each"
A4415|"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each"
A4416|"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each"
A4417|"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each"
A4418|"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each"
A4419|"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each"
A4420|"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each"
A4421|Ostomy supply; miscellaneous
A4422|"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each"
A4423|"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each"
A4424|"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each"
A4425|"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each"
A4426|"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each"
A4427|"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each"
A4428|"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each"
A4429|"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"
A4430|"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"
A4431|"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each"
A4432|"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each"
A4433|"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each"
A4434|"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each"
A4435|"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each"
A4450|"Tape, non-waterproof, per 18 square inches"
A4452|"Tape, waterproof, per 18 square inches"
A4455|"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce"
A4456|"Adhesive remover, wipes, any type, each"
A4458|"Enema bag with tubing, reusable"
A4459|"Manual pump-operated enema system, includes balloon, catheter and all accessories, reusable, any type"
A4461|"Surgical dressing holder, non-reusable, each"
A4463|"Surgical dressing holder, reusable, each"
A4465|Non-elastic binder for extremity
A4466|"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each"
A4470|Gravlee jet washer
A4480|Vabra aspirator
A4481|"Tracheostoma filter, any type, any size, each"
A4483|"Moisture exchanger, disposable, for use with invasive mechanical ventilation"
A4490|"Surgical stockings above knee length, each"
A4495|"Surgical stockings thigh length, each"
A4500|"Surgical stockings below knee length, each"
A4510|"Surgical stockings full length, each"
A4520|"Incontinence garment, any type, (e.g., brief, diaper), each"
A4550|Surgical trays
A4554|"Disposable underpads, all sizes"
A4555|"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only"
A4556|"Electrodes, (e.g., apnea monitor), per pair"
A4557|"Lead wires, (e.g., apnea monitor), per pair"
A4558|"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz"
A4559|"Coupling gel or paste, for use with ultrasound device, per oz"
A4561|"Pessary, rubber, any type"
A4562|"Pessary, non rubber, any type"
A4565|Slings
A4566|"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment"
A4570|Splint
A4575|"Topical hyperbaric oxygen chamber, disposable"
A4580|"Cast supplies (e.g., plaster)"
A4590|"Special casting material (e.g., fiberglass)"
A4595|"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)"
A4600|"Sleeve for intermittent limb compression device, replacement only, each"
A4601|"Lithium ion battery, rechargeable, for non-prosthetic use, replacement"
A4602|"Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each"
A4604|Tubing with integrated heating element for use with positive airway pressure device
A4605|"Tracheal suction catheter, closed system, each"
A4606|"Oxygen probe for use with oximeter device, replacement"
A4608|"Transtracheal oxygen catheter, each"
A4611|"Battery, heavy duty; replacement for patient owned ventilator"
A4612|Battery cables; replacement for patient-owned ventilator
A4613|Battery charger; replacement for patient-owned ventilator
A4614|"Peak expiratory flow rate meter, hand held"
A4615|"Cannula, nasal"
A4616|"Tubing (oxygen), per foot"
A4617|Mouth piece
A4618|Breathing circuits
A4619|Face tent
A4620|Variable concentration mask
A4623|"Tracheostomy, inner cannula"
A4624|"Tracheal suction catheter, any type other than closed system, each"
A4625|Tracheostomy care kit for new tracheostomy
A4626|"Tracheostomy cleaning brush, each"
A4627|"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler"
A4628|"Oropharyngeal suction catheter, each"
A4629|Tracheostomy care kit for established tracheostomy
A4630|"Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient"
A4633|"Replacement bulb/lamp for ultraviolet light therapy system, each"
A4634|"Replacement bulb for therapeutic light box, tabletop model"
A4635|"Underarm pad, crutch, replacement, each"
A4636|"Replacement, handgrip, cane, crutch, or walker, each"
A4637|"Replacement, tip, cane, crutch, walker, each."
A4638|"Replacement battery for patient-owned ear pulse generator, each"
A4639|"Replacement pad for infrared heating pad system, each"
A4640|Replacement pad for use with medically necessary alternating pressure pad owned by patient
A4641|"Radiopharmaceutical, diagnostic, not otherwise classified"
A4642|"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries"
A4648|"Tissue marker, implantable, any type, each"
A4649|Surgical supply; miscellaneous
A4650|"Implantable radiation dosimeter, each"
A4651|"Calibrated microcapillary tube, each"
A4652|Microcapillary tube sealant
A4653|"Peritoneal dialysis catheter anchoring device, belt, each"
A4657|"Syringe, with or without needle, each"
A4660|Sphygmomanometer/blood pressure apparatus with cuff and stethoscope
A4663|Blood pressure cuff only
A4670|Automatic blood pressure monitor
A4671|"Disposable cycler set used with cycler dialysis machine, each"
A4672|"Drainage extension line, sterile, for dialysis, each"
A4673|"Extension line with easy lock connectors, used with dialysis"
A4674|"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz"
A4680|"Activated carbon filter for hemodialysis, each"
A4690|"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each"
A4706|"Bicarbonate concentrate, solution, for hemodialysis, per gallon"
A4707|"Bicarbonate concentrate, powder, for hemodialysis, per packet"
A4708|"Acetate concentrate solution, for hemodialysis, per gallon"
A4709|"Acid concentrate, solution, for hemodialysis, per gallon"
A4714|"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon"
A4719|"""y set"" tubing for peritoneal dialysis"
A4720|"Dialysate solution, any concentration of dextrose, fluid volume greater than 249cc, but less than or equal to 999 cc, for peritoneal dialysis"
